,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"(18, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(2, ""['a', 'b', 'a', 'b', 'b', 'b', 'b', 'c', 'b']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'c', 'c', 'c', 'c']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'a', 'b', 'c', 'b']"")","(1, ""['a', 'b', 'c', 'c', 'a', 'a', 'b', 'a', 'c']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'c', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'c', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'c', 'c', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'a', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'c', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'a']"")"
1,"(41, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,
2,"(25, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(2, ""['a', 'b', 'c', 'a', 'b', 'a', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'c', 'a', 'b', 'a', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'c', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'a', 'b', 'c', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"")",,,,,,,,,,
3,"(36, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'b', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'c', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,
4,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,
5,"(43, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,
6,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'a', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,
7,"(34, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'b', 'c', 'c', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'a', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'b', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")",,,,,,,,,,,,,,,
8,"(23, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(9, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(3, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'c', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,
9,"(23, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(8, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(5, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(3, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")",,,,,,,,,,,,,,,,
10,"(14, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(9, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(7, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(5, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(3, ""['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'c', 'c', 'c', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'a']"")",,,,,,,,,,,,,,
11,"(23, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(11, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(6, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'a', 'c', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'a']"")",,,,,,,,,,,,,,,,,,
12,"(33, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(8, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,
13,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(4, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")",,,,,,,,,,,,,,,,,,,,,
14,"(43, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,
15,"(45, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,
16,"(44, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,
17,"(43, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,
18,"(41, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(6, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,
19,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(9, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(43, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,
