,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,"(6, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(3, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'b', 'c', 'c', 'c', 'b', 'b']"")","(2, ""['a', 'b', 'b', 'c', 'b', 'b', 'b', 'a', 'c']"")","(2, ""['a', 'a', 'a', 'b', 'a', 'b', 'a', 'c', 'c']"")","(2, ""['a', 'a', 'a', 'b', 'a', 'a', 'b', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'c', 'c', 'c', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'c', 'c', 'c', 'a', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'c', 'b', 'c', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'a', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'a', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'c', 'c', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'c', 'c']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'c', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'c', 'a', 'c', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'b', 'b', 'b', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'a', 'a', 'c', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'c', 'a']"")"
1,"(18, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(8, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(6, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(2, ""['a', 'a', 'a', 'b', 'c', 'c', 'c', 'b', 'b']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'c']"")","(2, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'c', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'a', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'a', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,
2,"(33, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(9, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(3, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(6, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(2, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(3, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'c', 'c', 'a', 'c', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(28, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(6, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'c', 'b', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'c', 'b', 'c', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'c', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'c', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,
7,"(28, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(8, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'c', 'b', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,
8,"(33, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(7, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(8, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(37, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(7, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'b', 'c', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(40, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(7, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(28, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,
13,"(41, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,,,
14,"(29, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,
15,"(13, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")","(3, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'a', 'b', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'c', 'c', 'c']"")",,,,,,,,,,
16,"(15, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(3, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'c', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'b', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'c', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,
17,"(24, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(3, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(3, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")","(2, ""['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'a']"")","(2, ""['a', 'b', 'a', 'c', 'c', 'c', 'a', 'b', 'a']"")","(2, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,
18,"(22, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(6, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")","(4, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(4, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(2, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'b', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'b', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'b', 'c', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,,,,
19,"(27, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'c', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'a', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'b', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'c', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'c', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'b', 'a', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'c', 'b', 'c', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'b', 'c', 'c', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,
20,"(30, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'c', 'c']"")","(2, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'c', 'b', 'c', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'b', 'c']"")","(1, ""['a', 'a', 'b', 'b', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'c', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'c', 'c', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'c', 'c']"")",,,,,,,,,,,,,,,,
