awaiting_async_process,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,vars,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,vertex_id,dependent_vertex_ids,class
False,1,2022-11-30 21:30:01,False,,,TrialSource,1,,{},graph_demo,graph_demo,True,False,True,,0,16.0,,"[{'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}]","[{'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}]",,default,default,True,1,0,"[1, 3]",CustomNode
False,2,2022-11-30 21:30:01,False,,,TrialSource,2,,{},graph_demo,graph_demo,True,False,True,,0,15.0,,"[{'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}]","[{'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}]",,default,default,True,1,1,"[0, 2, 4]",CustomNode
False,3,2022-11-30 21:30:01,False,,,TrialSource,3,,{},graph_demo,graph_demo,True,False,True,,0,17.0,,"[{'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]","[{'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]",,default,default,True,1,2,"[1, 5]",CustomNode
False,4,2022-11-30 21:30:01,False,,,TrialSource,4,,{},graph_demo,graph_demo,True,False,True,,0,11.0,,"[{'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}]","[{'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}]",,default,default,True,1,3,"[0, 4, 6]",CustomNode
False,5,2022-11-30 21:30:01,False,,,TrialSource,5,,{},graph_demo,graph_demo,True,False,True,,0,18.0,,"[{'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]","[{'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]",,default,default,True,1,4,"[3, 1, 5, 7]",CustomNode
False,6,2022-11-30 21:30:01,False,,,TrialSource,6,,{},graph_demo,graph_demo,True,False,True,,0,10.0,,"[{'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': True}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]","[{'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': True}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]",,default,default,True,1,5,"[4, 2, 8]",CustomNode
False,7,2022-11-30 21:30:01,False,,,TrialSource,7,,{},graph_demo,graph_demo,True,False,True,,0,13.0,,"[{'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]","[{'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]",,default,default,True,1,6,"[3, 7]",CustomNode
False,8,2022-11-30 21:30:01,False,,,TrialSource,8,,{},graph_demo,graph_demo,True,False,True,,0,12.0,,"[{'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': True}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]","[{'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': True}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]",,default,default,True,1,7,"[6, 4, 8]",CustomNode
False,9,2022-11-30 21:30:01,False,,,TrialSource,9,,{},graph_demo,graph_demo,True,False,True,,0,14.0,,"[{'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': True}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]","[{'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': True}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]",,default,default,True,1,8,"[7, 5]",CustomNode
False,10,2022-11-30 21:30:20,False,,,CustomNode,6,,{},graph_demo,graph_demo,True,True,True,,1,,6.0,[0],[0],,default,default,True,1,5,"[4, 2, 8]",CustomNode
False,11,2022-11-30 21:30:20,False,,,CustomNode,4,,{},graph_demo,graph_demo,True,True,True,,1,,4.0,[2],[2],,default,default,True,1,3,"[0, 4, 6]",CustomNode
False,12,2022-11-30 21:30:21,False,,,CustomNode,8,,{},graph_demo,graph_demo,True,True,True,,1,,8.0,[1],[1],,default,default,True,1,7,"[6, 4, 8]",CustomNode
False,13,2022-11-30 21:30:21,False,,,CustomNode,7,,{},graph_demo,graph_demo,True,True,True,,1,,7.0,[0],[0],,default,default,True,1,6,"[3, 7]",CustomNode
False,14,2022-11-30 21:30:21,False,,,CustomNode,9,,{},graph_demo,graph_demo,True,True,True,,1,,9.0,[1],[1],,default,default,True,1,8,"[7, 5]",CustomNode
False,15,2022-11-30 21:30:21,False,,,CustomNode,2,,{},graph_demo,graph_demo,True,True,True,,1,,2.0,[1],[1],,default,default,True,1,1,"[0, 2, 4]",CustomNode
False,16,2022-11-30 21:30:21,False,,,CustomNode,1,,{},graph_demo,graph_demo,True,True,True,,1,,1.0,[2],[2],,default,default,True,1,0,"[1, 3]",CustomNode
False,17,2022-11-30 21:30:21,False,,,CustomNode,3,,{},graph_demo,graph_demo,True,True,True,,1,,3.0,[2],[2],,default,default,True,1,2,"[1, 5]",CustomNode
False,18,2022-11-30 21:30:22,False,,,CustomNode,5,,{},graph_demo,graph_demo,True,True,True,,1,,5.0,[0],[0],,default,default,True,1,4,"[3, 1, 5, 7]",CustomNode
